id,name
3244,Coyote Hills Regional Park
3259,Dublin Hills Regional Park
3282,Leona Heights Regional Open Space
3312,Shadow Cliffs Regional Recreation Area
3319,Sobrante Ridge Regional Preserve
3446,Regional Park
3488,Brite Lake Park
3650,Serpas Ranch Open Space
3664,Monserate Mountain Preserve
4018,Santa Rosa and San Jacinto Mountains National Monument
4145,Brand Park
4153,City of Glendale Verdugo Mountains Open Space
4179,San Rafael Mountains Open Space
4595,Salton Sea - Irrigation District
4689,Irvine holding 8
4798,Hart Memorial Park
4801,Kern County Valley Floor Habitat Conservation Plan
4823,Tehachapi Mountain Park
5513,Los Angeles Department of Water and Power
5656,Griffith Park
5660,Hansen Dam Park
5891,Verdugo Mountain Park
6051,Mission Canyon Open Space
6108,Vasquez Rocks Natural Area Park
6117,Winery Canyon Open Space
6284,Gary Giacomini Open Space Preserve
6288,Indian Valley Open Space
6293,Loma Verde Open Space Preserve
6307,Terra Linda Ridge/Sleepy Hollow Divide
6340,Marin Municipal Water District Watershed
6341,Mount Tamalpais State Park
6373,Carquinez Strait Regional Shoreline
6401,Riverfront Park Complex
6445,Lake McClure (Exchequer Reservoir)
6518,Los Trancos Open Space
6528,Purisima Creek Redwoods Open Space Preserve
6898,Jacks Peak Park
6925,San Lorenzo Park
6975,City of Moreno Valley Open Space
7106,Conejo Ridge - MRCA
7210,Sage Ranch Park
7237,Triunfo Park
7239,Tuna Canyon Park
7479,Powder Canyon Open Space
7534,Bowman Reservoir
8041,Aliso and Wood Canyons Wilderness Park
8049,"Cleveland National Forest, Exp 1"
8063,Irvine Regional Park
8231,State of California
8337,Santa Rosa and San Jacinto Mountains National Monument
8389,Palos Verdes Estates City Parkland
8582,Pinole Valley Park
8647,Hidden Falls Regional Park
9098,Rancho Simi Recreation and Park District
9807,Granite Regional Park
9958,American River Parkway
10235,Balboa Park
10257,Black Mountain Open Space Park
10430,Mission Bay Park
10518,Sabre Springs South Open Space
10540,San Dieguito River Park
10552,Scripps-Miramar Ranch Open Space
10589,Tecolote Canyon Natural Open Space Park
10608,Tierrasanta Open Space
10619,Torrey Highlands Open Space
10695,Guajome Regional Park
10755,San Dieguito River Park
11122,Coyote Creek Parkchain I
11123,Coyote Creek Trail
11172,Lake Cunningham
11429,Nacimiento County Recreation Area
11439,Santa Margarita Lake Regional Park and Natural Area
11540,Harry A Barbier Memorial Park
11773,Guadalupe Dunes County Park
11888,Almaden Quicksilver Park
11902,Joseph D. Grant Park
11940,Guadalupe River Park
11942,Lexington Reservoir
12092,Quail Hollow Ranch Park
12628,Riverfront Regional Park
12811,Woodward Reservoir County Park
13090,Cosumnes River Preserve
13179,San Gorgonio Pass Wildlife Corridor
13411,Independence Lake - Carpenter Ridge
13560,Hensley Lake Recreation Area
13568,Lake Sonoma Recreation Area
13583,Prado Regional Park
13764,Lake Oroville State Recreation Area
13771,Ocotillo Wells State Vehicular Recreation Area
13774,Red Rock Canyon State Park
13839,Salton Sea - Bureau of Rec
13840,Salton Sea State Recreation Area
13841,Salton Sea State Recreation Area
13843,Salton Sea State Recreation Area - Federal
13858,United States Bureau of Reclamation
13881,USBR
13902,Don Edwards National Wildlife Refuge
13915,Humboldt Bay National Wildlife Refuge
13939,Salinas River National Wildlife Refuge
14005,Angeles National Forest
14013,Cleveland National Forest
14015,Devil's Peak
14029,Eldorado National Forest
14032,Giant Sequoia National Monument
14042,Inyo National Forest
14043,Klamath National Forest
14079,Mendocino National Forest
